pharmacy_id,pharmacy_name,city,state,channel
PH00001,Moon Pharmacy,New Ryan,FL,Retail
PH00002,Olsen Pharmacy,South Michaelmouth,FL,Retail
PH00003,Morris Pharmacy,Port Eugenechester,IL,Mail Order
PH00004,Steele Pharmacy,Elainefurt,CA,Retail
PH00005,Cervantes Pharmacy,South Christopherview,IL,Retail
PH00006,Morris Pharmacy,Hancocktown,IL,Retail
PH00007,Sandoval Pharmacy,Gutierrezborough,MA,Retail
PH00008,Stone Pharmacy,Garrettton,NJ,Specialty
PH00009,Harris Pharmacy,West Samuel,MA,Retail
PH00010,Wolfe Pharmacy,North Teresabury,NY,Mail Order
PH00011,Mckinney Pharmacy,Andreaside,PA,Retail
PH00012,Russell Pharmacy,Port Robin,NY,Retail
PH00013,Murray Pharmacy,Lake Marilynfort,NY,Specialty
PH00014,Cantu Pharmacy,Williamview,IL,Retail
PH00015,Perry Pharmacy,Bairdbury,TX,Retail
PH00016,Bryant Pharmacy,South James,MA,Specialty
PH00017,Greene Pharmacy,Port Chad,TX,Specialty
PH00018,Barton Pharmacy,Morganhaven,NJ,Retail
PH00019,Adams Pharmacy,West Jessicashire,MA,Specialty
PH00020,Carpenter Pharmacy,Grimesmouth,MA,Retail
PH00021,Ryan Pharmacy,Martinside,PA,Retail
PH00022,Bennett Pharmacy,Mollybury,CA,Mail Order
PH00023,Armstrong Pharmacy,Port Kimberly,PA,Retail
PH00024,Williams Pharmacy,Thorntonfurt,MA,Retail
PH00025,Hughes Pharmacy,South Tammie,NJ,Mail Order
PH00026,Martinez Pharmacy,Mollymouth,NY,Retail
PH00027,Garcia Pharmacy,Smithberg,PA,Retail
PH00028,Ortiz Pharmacy,North Terrance,CA,Specialty
PH00029,Costa Pharmacy,Cindyfurt,NJ,Mail Order
PH00030,Santos Pharmacy,Melissaside,NY,Retail
PH00031,James Pharmacy,Courtneyfort,MA,Retail
PH00032,Brennan Pharmacy,New Caseyport,FL,Retail
PH00033,Bright Pharmacy,South Tiffanyville,MA,Retail
PH00034,Wallace Pharmacy,Rebeccaton,NY,Retail
PH00035,Nguyen Pharmacy,West Michaelchester,TX,Specialty
PH00036,Thomas Pharmacy,Knightburgh,MA,Mail Order
PH00037,Jackson Pharmacy,New Monicabury,MA,Retail
PH00038,Jimenez Pharmacy,East Steven,FL,Retail
PH00039,King Pharmacy,Elizabethmouth,IL,Retail
PH00040,Santana Pharmacy,North Scott,NJ,Retail
PH00041,Reed Pharmacy,Daniellechester,CA,Retail
PH00042,Vaughn Pharmacy,Bruceborough,CA,Retail
PH00043,Kidd Pharmacy,Rodriguezfurt,TX,Retail
PH00044,Armstrong Pharmacy,Victoriaport,IL,Retail
PH00045,Johnson Pharmacy,Hillshire,IL,Retail
PH00046,Grimes Pharmacy,New Julieport,MA,Specialty
PH00047,Parsons Pharmacy,New Laurie,FL,Retail
PH00048,Robinson Pharmacy,New John,TX,Retail
PH00049,Campos Pharmacy,Lake Colton,TX,Mail Order
PH00050,Burton Pharmacy,West Kristinaton,IL,Mail Order
PH00051,Riley Pharmacy,North Renee,NJ,Retail
PH00052,Murphy Pharmacy,Thompsonberg,IL,Mail Order
PH00053,Buchanan Pharmacy,Alyssaview,IL,Retail
PH00054,Rivas Pharmacy,Robinfort,MA,Mail Order
PH00055,Coffey Pharmacy,Juliemouth,MA,Retail
PH00056,Brock Pharmacy,Mccartyberg,PA,Retail
PH00057,Webster Pharmacy,Port Erica,NJ,Retail
PH00058,Craig Pharmacy,Coffeyside,PA,Mail Order
PH00059,Diaz Pharmacy,Smithside,FL,Retail
PH00060,Martinez Pharmacy,Emilyview,FL,Mail Order
PH00061,Richards Pharmacy,Danielbury,NJ,Retail
PH00062,Ruiz Pharmacy,Rosebury,MA,Retail
PH00063,Holland Pharmacy,Blankenshipport,NJ,Retail
PH00064,Banks Pharmacy,East Brandonton,TX,Retail
PH00065,Torres Pharmacy,Wilsonbury,NY,Retail
PH00066,Clay Pharmacy,South Shawn,PA,Mail Order
PH00067,Santiago Pharmacy,Matthewsberg,MA,Retail
PH00068,Mcclure Pharmacy,Port Tracychester,MA,Retail
PH00069,Crosby Pharmacy,Antoniostad,TX,Retail
PH00070,Robinson Pharmacy,Sampsonstad,TX,Retail
PH00071,Garcia Pharmacy,Amystad,IL,Retail
PH00072,Brown Pharmacy,Jamesville,NJ,Retail
PH00073,Rush Pharmacy,Davisborough,PA,Mail Order
PH00074,May Pharmacy,North Kristinbury,NJ,Specialty
PH00075,Zhang Pharmacy,North Maria,MA,Mail Order
PH00076,Spencer Pharmacy,Port Molly,NY,Retail
PH00077,Murphy Pharmacy,Port Rachel,FL,Retail
PH00078,Smith Pharmacy,East Amber,IL,Specialty
PH00079,Lindsey Pharmacy,Lake Michelleberg,CA,Retail
PH00080,Smith Pharmacy,New Mario,CA,Mail Order
PH00081,Thompson Pharmacy,East Judyhaven,CA,Retail
PH00082,Wilson Pharmacy,South Shanestad,IL,Specialty
PH00083,Palmer Pharmacy,South Williamton,NY,Retail
PH00084,Acosta Pharmacy,Stephentown,NY,Retail
PH00085,Brown Pharmacy,Boonechester,PA,Retail
PH00086,Parks Pharmacy,Josephmouth,FL,Retail
PH00087,Jones Pharmacy,West Charleneland,TX,Retail
PH00088,Martinez Pharmacy,Oscarhaven,CA,Retail
PH00089,Phillips Pharmacy,Garciaville,NJ,Retail
PH00090,Farrell Pharmacy,South Shannon,FL,Retail
PH00091,Perez Pharmacy,Mariafurt,TX,Retail
PH00092,Perry Pharmacy,West Ronaldview,IL,Retail
PH00093,Brooks Pharmacy,Lake Sandra,NY,Mail Order
PH00094,Jones Pharmacy,North Ryanstad,MA,Specialty
PH00095,Cain Pharmacy,New Sueside,TX,Retail
PH00096,Rivera Pharmacy,South Michaelchester,PA,Specialty
PH00097,Parrish Pharmacy,West Carolinestad,IL,Retail
PH00098,Garcia Pharmacy,East Diane,NJ,Retail
PH00099,Walker Pharmacy,West Meganstad,MA,Mail Order
PH00100,Wilson Pharmacy,Audreychester,FL,Specialty
PH00101,Bruce Pharmacy,New Sarahview,MA,Retail
PH00102,Johnson Pharmacy,Jacquelineport,NJ,Retail
PH00103,Dorsey Pharmacy,Adamberg,IL,Specialty
PH00104,Knight Pharmacy,Jonestown,IL,Retail
PH00105,Davis Pharmacy,South Robert,NJ,Retail
PH00106,Peterson Pharmacy,Larrymouth,NY,Specialty
PH00107,Frank Pharmacy,North Ericton,MA,Mail Order
PH00108,Craig Pharmacy,Scottchester,IL,Mail Order
PH00109,Tucker Pharmacy,Perryborough,FL,Retail
PH00110,Fischer Pharmacy,West Russellport,PA,Retail
PH00111,Gregory Pharmacy,Roseport,FL,Retail
PH00112,Williams Pharmacy,Joyceton,TX,Retail
PH00113,Smith Pharmacy,Sierraberg,NY,Retail
PH00114,Duran Pharmacy,Marktown,MA,Retail
PH00115,Jimenez Pharmacy,Thompsonfurt,PA,Retail
PH00116,Patel Pharmacy,New Angelica,CA,Specialty
PH00117,Barnett Pharmacy,Charleston,PA,Retail
PH00118,Graham Pharmacy,Morsemouth,TX,Retail
PH00119,Johnston Pharmacy,Mckinneychester,PA,Retail
PH00120,Roberts Pharmacy,Smithmouth,IL,Mail Order
PH00121,Jackson Pharmacy,Collierstad,IL,Specialty
PH00122,Davis Pharmacy,East Ryanfurt,MA,Specialty
PH00123,Warren Pharmacy,Harrellmouth,IL,Retail
PH00124,Walker Pharmacy,North William,PA,Mail Order
PH00125,Wilson Pharmacy,Port Michael,MA,Specialty
PH00126,Luna Pharmacy,East Curtis,TX,Mail Order
PH00127,Scott Pharmacy,New Eric,FL,Mail Order
PH00128,Malone Pharmacy,East Stephaniefort,NJ,Specialty
PH00129,Marshall Pharmacy,Maldonadoshire,PA,Retail
PH00130,Day Pharmacy,Michellemouth,NJ,Retail
PH00131,Hernandez Pharmacy,South Scottport,CA,Retail
PH00132,Hogan Pharmacy,West Williamport,IL,Retail
PH00133,Murray Pharmacy,North Miguelport,PA,Retail
PH00134,Jones Pharmacy,New Brookefurt,FL,Retail
PH00135,Ford Pharmacy,South Reginashire,PA,Specialty
PH00136,Pearson Pharmacy,Cassidyhaven,FL,Retail
PH00137,Hernandez Pharmacy,South Dalemouth,MA,Specialty
PH00138,Haas Pharmacy,New Debbieton,IL,Retail
PH00139,Wright Pharmacy,Ritterhaven,CA,Retail
PH00140,Mills Pharmacy,West Nathan,NY,Retail
PH00141,Campbell Pharmacy,Schroederton,MA,Retail
PH00142,Mccormick Pharmacy,Cameronville,FL,Mail Order
PH00143,Grant Pharmacy,Mitchellberg,TX,Retail
PH00144,Cook Pharmacy,West Kyle,PA,Retail
PH00145,Douglas Pharmacy,Andersonland,NJ,Retail
PH00146,Collins Pharmacy,Schneidermouth,TX,Mail Order
PH00147,Li Pharmacy,Lake Ellenhaven,CA,Mail Order
PH00148,Cox Pharmacy,Kyleborough,NJ,Specialty
PH00149,Peterson Pharmacy,Leeberg,IL,Retail
PH00150,Moore Pharmacy,Meganville,PA,Retail
PH00151,Romero Pharmacy,Lake Matthewberg,MA,Specialty
PH00152,Harper Pharmacy,East Henry,PA,Retail
PH00153,Schwartz Pharmacy,Lake Samuel,PA,Retail
PH00154,Jenkins Pharmacy,South Cheryl,PA,Retail
PH00155,Goodwin Pharmacy,Youngbury,IL,Retail
PH00156,Collins Pharmacy,Mckeeborough,CA,Specialty
PH00157,Richardson Pharmacy,Murrayport,MA,Retail
PH00158,Strickland Pharmacy,Burchborough,FL,Retail
PH00159,Solis Pharmacy,Port John,NY,Retail
PH00160,Davidson Pharmacy,Angelaville,PA,Retail
PH00161,Dawson Pharmacy,West Christopherburgh,TX,Mail Order
PH00162,Nelson Pharmacy,Port Samuel,FL,Retail
PH00163,Potts Pharmacy,Port Shannon,FL,Retail
PH00164,Bailey Pharmacy,South Brianhaven,FL,Retail
PH00165,Brooks Pharmacy,Vangstad,TX,Mail Order
PH00166,Walker Pharmacy,Sarahmouth,NY,Retail
PH00167,Moody Pharmacy,North Justin,TX,Specialty
PH00168,Gallegos Pharmacy,Port Janice,IL,Mail Order
PH00169,West Pharmacy,North Andrewborough,CA,Retail
PH00170,Conley Pharmacy,Rodriguezport,NY,Retail
PH00171,Young Pharmacy,North Johnmouth,PA,Mail Order
PH00172,Brown Pharmacy,Carlsontown,FL,Retail
PH00173,Chen Pharmacy,Lake Douglas,NY,Retail
PH00174,Patterson Pharmacy,Johnchester,NY,Retail
PH00175,Lopez Pharmacy,New Theresaland,NJ,Retail
PH00176,Ashley Pharmacy,South Morganton,CA,Retail
PH00177,Reid Pharmacy,Jontown,PA,Retail
PH00178,Kelly Pharmacy,West Johnville,CA,Retail
PH00179,Ingram Pharmacy,Dennisstad,FL,Specialty
PH00180,Payne Pharmacy,Port Kimberly,NY,Retail
PH00181,Marshall Pharmacy,Welchberg,IL,Retail
PH00182,Brown Pharmacy,Johnsonborough,NY,Retail
PH00183,Williams Pharmacy,North Leslie,MA,Mail Order
PH00184,Collins Pharmacy,Haysside,NJ,Retail
PH00185,Kennedy Pharmacy,Port Deborahport,MA,Retail
PH00186,Kelly Pharmacy,Port Dianaview,MA,Retail
PH00187,Martinez Pharmacy,Samuelfurt,CA,Retail
PH00188,Paul Pharmacy,Morganburgh,TX,Retail
PH00189,Crawford Pharmacy,Richardsonhaven,IL,Retail
PH00190,Adams Pharmacy,Lake Rogerchester,PA,Retail
PH00191,Morrison Pharmacy,New Kelly,IL,Retail
PH00192,Garcia Pharmacy,Donnaport,NJ,Retail
PH00193,Griffin Pharmacy,Jacksonmouth,CA,Mail Order
PH00194,Bell Pharmacy,Lake Mollystad,FL,Retail
PH00195,Mendez Pharmacy,Hillton,FL,Retail
PH00196,Jones Pharmacy,Coxburgh,MA,Retail
PH00197,Cisneros Pharmacy,Port Cathy,CA,Retail
PH00198,Harrington Pharmacy,East Carlosstad,PA,Retail
PH00199,Cox Pharmacy,New Ericmouth,PA,Specialty
PH00200,Rush Pharmacy,Scottland,MA,Retail
PH00201,Berry Pharmacy,Raymondview,CA,Retail
PH00202,Wright Pharmacy,North Jillfort,CA,Retail
PH00203,Holmes Pharmacy,West Kimberlymouth,PA,Mail Order
PH00204,Lewis Pharmacy,Heatherfort,NY,Retail
PH00205,Gonzalez Pharmacy,Port Charles,PA,Retail
PH00206,Thompson Pharmacy,Osbornmouth,NJ,Retail
PH00207,Contreras Pharmacy,New Amberport,NJ,Mail Order
PH00208,York Pharmacy,Port Michael,NY,Specialty
PH00209,Walker Pharmacy,Port Dominic,IL,Retail
PH00210,Tyler Pharmacy,West Angelastad,FL,Retail
PH00211,Mcdonald Pharmacy,New Nicole,MA,Retail
PH00212,Jones Pharmacy,Keyfort,CA,Retail
PH00213,Fox Pharmacy,Morrowland,PA,Retail
PH00214,Martinez Pharmacy,Dawnmouth,IL,Retail
PH00215,Owens Pharmacy,Davidside,NJ,Mail Order
PH00216,Bowman Pharmacy,Port Tammy,NY,Retail
PH00217,Reynolds Pharmacy,Port Davidberg,IL,Retail
PH00218,Torres Pharmacy,West Sarah,IL,Retail
PH00219,Perez Pharmacy,Meghanview,IL,Specialty
PH00220,Gonzalez Pharmacy,Davidport,PA,Retail
PH00221,Mendez Pharmacy,New Danielleshire,TX,Retail
PH00222,David Pharmacy,East Donna,NJ,Retail
PH00223,Le Pharmacy,Meganshire,NY,Retail
PH00224,Williams Pharmacy,North Brandonshire,FL,Retail
PH00225,Baker Pharmacy,Port Ashley,MA,Retail
PH00226,Montgomery Pharmacy,South Pamelaside,PA,Retail
PH00227,Roberts Pharmacy,Timothyfurt,PA,Mail Order
PH00228,Evans Pharmacy,Lake Brianmouth,CA,Mail Order
PH00229,Perry Pharmacy,Harrisberg,TX,Retail
PH00230,Edwards Pharmacy,Jessicastad,NY,Retail
PH00231,Hester Pharmacy,Port Mitchell,IL,Retail
PH00232,Hoffman Pharmacy,Johnville,NJ,Retail
PH00233,Adams Pharmacy,East Colin,MA,Retail
PH00234,Roberts Pharmacy,Linchester,FL,Mail Order
PH00235,Wright Pharmacy,Port Mark,CA,Retail
PH00236,Lane Pharmacy,Jamesburgh,CA,Retail
PH00237,Jimenez Pharmacy,Jimenezport,MA,Retail
PH00238,Jimenez Pharmacy,South Williambury,IL,Retail
PH00239,Lewis Pharmacy,Brandonport,NJ,Specialty
PH00240,Simpson Pharmacy,Mitchelltown,NY,Retail
PH00241,Boone Pharmacy,Andersonview,IL,Specialty
PH00242,Luna Pharmacy,Diazfurt,TX,Mail Order
PH00243,Williams Pharmacy,West Angela,IL,Retail
PH00244,Jones Pharmacy,Duranview,NY,Retail
PH00245,Bryan Pharmacy,East Theresafurt,NJ,Retail
PH00246,Brooks Pharmacy,Angelastad,NJ,Retail
PH00247,Fischer Pharmacy,New William,FL,Retail
PH00248,Porter Pharmacy,North Derrickmouth,PA,Retail
PH00249,Brock Pharmacy,Hernandezhaven,NY,Retail
